generator,sample,mean,stddev,cv,chi2,df,p_value,uniform
CrossState,1,32335.4790,19184.1480,59.3285,21.0400,19,0.3344,1
CrossState,2,32777.9150,18395.9299,56.1229,29.1200,19,0.0639,1
CrossState,3,33726.1610,19419.0175,57.5785,32.5200,19,0.0273,0
CrossState,4,32802.2350,18741.7186,57.1355,16.1200,19,0.6498,1
CrossState,5,32608.7000,18799.7190,57.6525,22.4800,19,0.2607,1
CrossState,6,33267.7650,19406.5137,58.3343,22.1600,19,0.2760,1
CrossState,7,32151.8560,18941.8515,58.9137,14.0400,19,0.7820,1
CrossState,8,32529.0580,18396.1431,56.5530,22.2400,19,0.2721,1
CrossState,9,32202.5050,19027.5139,59.0871,14.6400,19,0.7458,1
CrossState,10,33380.7240,18512.3325,55.4582,14.5600,19,0.7508,1
CrossState,11,33211.8480,18780.0399,56.5462,13.7600,19,0.7981,1
CrossState,12,31284.6690,18736.6613,59.8909,28.8400,19,0.0684,1
CrossState,13,33103.1020,18880.7218,57.0361,16.4400,19,0.6283,1
CrossState,14,32887.3430,18975.9460,57.6998,7.4400,19,0.9912,1
CrossState,15,31428.9110,18713.6167,59.5427,17.8000,19,0.5362,1
CrossState,16,33501.1200,19149.3913,57.1605,14.2400,19,0.7701,1
CrossState,17,32976.3620,19013.9902,57.6595,21.2000,19,0.3256,1
CrossState,18,33582.4220,18995.7524,56.5646,18.2800,19,0.5041,1
CrossState,19,33290.2250,18721.4605,56.2371,21.6000,19,0.3043,1
CrossState,20,32265.1730,19049.2002,59.0395,23.7600,19,0.2051,1
XorShiftACC,1,32481.6940,19081.6407,58.7458,23.6400,19,0.2099,1
XorShiftACC,2,31986.1100,18786.2300,58.7325,16.3600,19,0.6337,1
XorShiftACC,3,33017.1720,18837.5718,57.0539,21.0400,19,0.3344,1
XorShiftACC,4,31721.3120,18786.5601,59.2238,27.7200,19,0.0887,1
XorShiftACC,5,32608.4240,19014.9209,58.3129,18.1200,19,0.5147,1
XorShiftACC,6,32754.8370,19190.1030,58.5871,10.9200,19,0.9266,1
XorShiftACC,7,31995.2850,19568.8238,61.1616,24.5600,19,0.1751,1
XorShiftACC,8,33169.6190,18938.6731,57.0964,18.7600,19,0.4725,1
XorShiftACC,9,33120.2320,18675.5247,56.3871,12.5600,19,0.8607,1
XorShiftACC,10,33379.6350,18811.4945,56.3562,15.6800,19,0.6791,1
XorShiftACC,11,32482.5260,19309.9537,59.4472,19.9200,19,0.3993,1
XorShiftACC,12,32750.3500,18976.1735,57.9419,11.6400,19,0.9006,1
XorShiftACC,13,33565.0210,18723.0666,55.7815,21.8400,19,0.2920,1
XorShiftACC,14,32389.9590,19295.0455,59.5711,27.4000,19,0.0954,1
XorShiftACC,15,32916.1910,19128.1951,58.1118,21.7200,19,0.2981,1
XorShiftACC,16,31920.6380,19622.6157,61.4731,36.3200,19,0.0097,0
XorShiftACC,17,33707.4560,18878.3865,56.0066,14.4800,19,0.7557,1
XorShiftACC,18,31998.4440,18852.0846,58.9156,21.0400,19,0.3344,1
XorShiftACC,19,33117.7230,18402.1153,55.5658,20.7200,19,0.3523,1
XorShiftACC,20,32831.6850,18799.0393,57.2588,11.7200,19,0.8975,1
QuadXOR,1,32961.4980,18787.3432,56.9978,10.9200,19,0.9266,1
QuadXOR,2,34210.6300,18916.7453,55.2949,15.8000,19,0.6712,1
QuadXOR,3,32803.7040,18570.4689,56.6109,16.7600,19,0.6066,1
QuadXOR,4,32823.7030,18625.9513,56.7454,26.6800,19,0.1120,1
QuadXOR,5,32480.4960,19114.3435,58.8487,23.2000,19,0.2282,1
QuadXOR,6,32673.9360,19077.8882,58.3887,15.5200,19,0.6896,1
QuadXOR,7,32602.6030,19279.9508,59.1362,13.0800,19,0.8349,1
QuadXOR,8,31747.3810,18689.1259,58.8682,25.1200,19,0.1562,1
QuadXOR,9,32572.5160,18765.0870,57.6102,19.7200,19,0.4116,1
QuadXOR,10,32567.3370,18605.9392,57.1307,13.7600,19,0.7981,1
QuadXOR,11,32755.4120,19232.4242,58.7153,19.4800,19,0.4265,1
QuadXOR,12,33249.4760,19210.1753,57.7759,28.3600,19,0.0765,1
QuadXOR,13,32307.4330,18609.5330,57.6014,20.3200,19,0.3754,1
QuadXOR,14,33105.9550,18966.5539,57.2905,18.0000,19,0.5227,1
QuadXOR,15,31608.0760,18896.1020,59.7825,18.4400,19,0.4935,1
QuadXOR,16,32483.1540,19270.3109,59.3240,10.5200,19,0.9389,1
QuadXOR,17,32891.8530,19034.9338,57.8713,20.4000,19,0.3707,1
QuadXOR,18,32696.7550,18823.3683,57.5695,7.7600,19,0.9886,1
QuadXOR,19,33790.7110,18964.4164,56.1232,41.6000,19,0.0021,0
QuadXOR,20,32613.6050,18848.1049,57.7922,11.1200,19,0.9198,1
